Code,Type,Colour,Sm,Mo,Lu,U,Yb,Au,La,As,W,Br,Ga,Na,K,Tm,Ce,Se,Th,Cr,Hf,Nd,Os,Zr,Cs,Ni,Tb,Sc,Rb,Fe,Zn,Co,Ta,Eu,Sb,Ba,Mn
FLF1,Rock,Pink,0.355,0.366,0.005,0.334,0.055,0.002,0.536,0.144,0.071,0.445,0.087,34.222,686.178,0.062,5.831,0.216,1.455,5.499,0.572,2.959,0.742,24.062,0.443,2.459,0.076,0.816,10.215,2543.204,5.198,0.980,0.077,0.095,0.140,36.379,48.893
FLF2,Rock,Pink,0.155,0.203,0.013,0.281,0.067,0.002,0.774,0.176,0.095,0.409,0.152,69.147,770.692,0.082,7.517,0.287,2.038,7.264,0.897,3.048,0.390,32.710,0.605,3.711,0.089,1.099,12.812,3258.308,7.253,1.290,0.116,0.117,0.104,37.683,64.372
FLR1,Rock,Pink,0.043,0.033,0.002,0.087,0.027,0.002,0.230,0.109,0.061,0.539,0.040,8.111,219.702,0.020,1.615,0.136,0.491,9.513,0.269,0.943,0.733,23.980,0.241,1.580,0.016,0.395,4.049,959.563,2.202,0.499,0.042,0.021,0.100,15.589,14.321
FLR2,Rock,Pink,0.029,0.049,0.005,0.036,0.016,0.001,0.236,0.090,0.061,0.401,0.043,11.604,176.203,0.022,1.675,0.116,0.488,10.673,0.320,1.125,0.184,13.304,0.218,1.558,0.021,0.374,3.631,948.872,2.003,0.519,0.032,0.023,0.066,24.151,15.776
CDS1,Rock,Pink,0.150,0.098,0.017,0.272,0.089,0.001,0.780,0.181,0.079,0.185,0.068,29.066,995.441,0.004,0.499,0.064,0.113,1.296,0.043,0.255,0.112,1.427,0.059,0.763,0.006,0.096,0.962,293.251,0.750,0.130,0.012,0.011,0.045,6.644,6.668
CDS2,Rock,Pink,0.243,0.284,0.015,0.645,0.089,0.001,0.981,0.208,0.043,0.151,0.165,33.232,1207.872,0.007,0.456,0.048,0.079,1.147,0.034,0.273,0.085,1.513,0.040,0.422,0.004,0.069,0.814,194.587,1.009,0.102,0.007,0.011,0.022,9.147,5.222
RAV1,Rock,Pink,0.812,0.468,0.049,1.035,0.242,0.002,4.513,1.316,0.294,2.705,0.455,153.622,3106.718,0.030,1.913,0.143,0.655,2.430,0.303,0.729,0.141,13.149,0.146,1.117,0.030,0.275,3.952,720.450,1.212,0.332,0.036,0.028,0.059,24.535,14.530
RAV2,Rock,Pink,1.390,0.668,0.090,1.150,0.455,0.003,8.069,2.308,0.447,3.276,1.328,1004.974,5694.097,0.033,2.618,0.095,0.739,3.046,0.531,1.182,0.454,21.840,0.177,0.984,0.035,0.337,5.187,870.518,1.589,0.408,0.037,0.048,0.199,31.566,16.399
AIL1,Rock,Pink,0.701,0.296,0.047,0.538,0.231,0.002,3.988,1.089,0.336,0.653,0.495,204.944,3186.819,0.087,8.710,0.239,2.233,9.668,0.632,3.182,0.295,25.139,0.697,3.873,0.087,1.232,14.065,3828.889,8.993,1.466,0.124,0.123,0.112,69.958,70.623
AIL2,Rock,Pink,0.392,0.097,0.031,0.396,0.220,0.002,3.090,0.894,0.408,0.741,0.072,529.975,4331.065,0.106,10.349,0.275,2.736,11.605,0.867,4.311,0.419,30.394,0.878,5.473,0.113,1.567,17.483,4762.007,11.529,1.825,0.145,0.155,0.130,74.113,99.245
